# x_tcs	y_tcs	z_tcs	x_w2	y_w2	z_w2	angle_w2	x_iscs	y_iscs	z_iscs	angle_iscs
-1707.73444	1283.58006	137.00000	2039.97204	-19.31863	0.00000	0.30000	2040.00000	-0.00000	0.00000	0.00000
-1724.11748	1295.05159	137.00000	2059.97176	-19.21391	0.00000	0.30000	2060.00000	0.00000	0.00000	0.00000
-1740.50052	1306.52312	137.00000	2079.97149	-19.10920	0.00000	0.30000	2080.00000	-0.00000	0.00000	0.00000
-1756.88356	1317.99464	137.00000	2099.97121	-19.00448	0.00000	0.30000	2100.00000	-0.00000	0.00000	0.00000
-1773.26661	1329.46617	137.00000	2119.97094	-18.89976	0.00000	0.30000	2120.00000	-0.00000	0.00000	0.00000
-1789.64965	1340.93770	137.00000	2139.97067	-18.79504	0.00000	0.30000	2140.00000	0.00000	0.00000	0.00000
-1806.03269	1352.40923	137.00000	2159.97039	-18.69032	0.00000	0.30000	2160.00000	-0.00000	0.00000	0.00000
-1822.41573	1363.88076	137.00000	2179.97012	-18.58560	0.00000	0.30000	2180.00000	0.00000	0.00000	0.00000
-1838.79877	1375.35229	137.00000	2199.96984	-18.48088	0.00000	0.30000	2200.00000	-0.00000	0.00000	0.00000
-1855.18181	1386.82382	137.00000	2219.96957	-18.37616	0.00000	0.30000	2220.00000	0.00000	0.00000	0.00000
-1871.56485	1398.29535	137.00000	2239.96929	-18.27144	0.00000	0.30000	2240.00000	-0.00000	0.00000	0.00000
-1887.94789	1409.76687	137.00000	2259.96902	-18.16672	0.00000	0.30000	2260.00000	0.00000	0.00000	0.00000
-1904.33093	1421.23840	137.00000	2279.96875	-18.06200	0.00000	0.30000	2280.00000	-0.00000	0.00000	0.00000
-1920.71397	1432.70993	137.00000	2299.96847	-17.95728	0.00000	0.30000	2300.00000	-0.00000	0.00000	0.00000
-1937.09701	1444.18146	137.00000	2319.96820	-17.85256	0.00000	0.30000	2320.00000	0.00000	0.00000	0.00000
-1953.48005	1455.65299	137.00000	2339.96792	-17.74784	0.00000	0.30000	2340.00000	-0.00000	0.00000	0.00000
-1969.86310	1467.12452	137.00000	2359.96765	-17.64313	0.00000	0.30000	2360.00000	0.00000	0.00000	0.00000
-1986.24614	1478.59605	137.00000	2379.96738	-17.53841	0.00000	0.30000	2380.00000	0.00000	0.00000	0.00000
-2002.62918	1490.06757	137.00000	2399.96710	-17.43369	0.00000	0.30000	2400.00000	-0.00000	0.00000	0.00000
-2019.01222	1501.53910	137.00000	2419.96683	-17.32897	0.00000	0.30000	2420.00000	0.00000	0.00000	0.00000
-2035.39526	1513.01063	137.00000	2439.96655	-17.22425	0.00000	0.30000	2440.00000	-0.00000	0.00000	0.00000
-2051.77830	1524.48216	137.00000	2459.96628	-17.11953	0.00000	0.30000	2460.00000	0.00000	0.00000	0.00000
-2068.16134	1535.95369	137.00000	2479.96600	-17.01481	0.00000	0.30000	2480.00000	0.00000	0.00000	0.00000
-2084.54438	1547.42522	137.00000	2499.96573	-16.91009	0.00000	0.30000	2500.00000	-0.00000	0.00000	0.00000
-2100.92742	1558.89675	137.00000	2519.96546	-16.80537	0.00000	0.30000	2520.00000	0.00000	0.00000	0.00000
-2117.31046	1570.36828	137.00000	2539.96518	-16.70065	0.00000	0.30000	2540.00000	-0.00000	0.00000	0.00000
-2133.69350	1581.83980	137.00000	2559.96491	-16.59593	0.00000	0.30000	2560.00000	-0.00000	0.00000	0.00000
-2150.07655	1593.31133	137.00000	2579.96463	-16.49121	0.00000	0.30000	2580.00000	0.00000	0.00000	0.00000
