# x_tcs	y_tcs	z_tcs	x_w2	y_w2	z_w2	x_iscs	y_iscs	z_iscs
-13383.15128	9470.90808	137.00000	16299.82852	45.42385	0.00000	16300.00000	-9.92250	0.00000
-13464.88437	9528.52580	137.00000	16399.82881	45.62995	0.00000	16400.00000	-10.24000	0.00000
-13546.61460	9586.14762	137.00000	16499.82913	45.83105	0.00000	16500.00000	-10.56250	0.00000
-13628.34196	9643.77354	137.00000	16599.82947	46.02715	0.00000	16600.00000	-10.89000	0.00000
-13710.06645	9701.40355	137.00000	16699.82984	46.21825	0.00000	16700.00000	-11.22250	0.00000
-13791.78807	9759.03766	137.00000	16799.83024	46.40435	0.00000	16800.00000	-11.56000	0.00000
-13873.50683	9816.67586	137.00000	16899.83066	46.58545	0.00000	16900.00000	-11.90250	0.00000
-13955.22271	9874.31816	137.00000	16999.83111	46.76155	0.00000	17000.00000	-12.25000	0.00000
-14036.93573	9931.96455	137.00000	17099.83158	46.93265	0.00000	17100.00000	-12.60250	0.00000
-14118.64588	9989.61504	137.00000	17199.83208	47.09876	0.00000	17200.00000	-12.96000	0.00000
-14200.35317	10047.26963	137.00000	17299.83261	47.25986	0.00000	17300.00000	-13.32250	0.00000
-14282.05758	10104.92831	137.00000	17399.83317	47.41596	0.00000	17400.00000	-13.69000	0.00000
-14363.75913	10162.59109	137.00000	17499.83375	47.56706	0.00000	17500.00000	-14.06250	0.00000
-14445.45781	10220.25796	137.00000	17599.83435	47.71316	0.00000	17600.00000	-14.44000	0.00000
-14527.15362	10277.92893	137.00000	17699.83498	47.85426	0.00000	17700.00000	-14.82250	0.00000
-14608.84656	10335.60400	137.00000	17799.83564	47.99036	0.00000	17800.00000	-15.21000	0.00000
-14690.53664	10393.28316	137.00000	17899.83633	48.12147	0.00000	17900.00000	-15.60250	0.00000
-14772.22385	10450.96641	137.00000	17999.83704	48.24757	0.00000	18000.00000	-16.00000	0.00000
-14853.90819	10508.65377	137.00000	18099.83777	48.36867	0.00000	18100.00000	-16.40250	0.00000
-14935.58966	10566.34522	137.00000	18199.83854	48.48477	0.00000	18200.00000	-16.81000	0.00000
-15017.26826	10624.04076	137.00000	18299.83932	48.59587	0.00000	18300.00000	-17.22250	0.00000
-15098.94400	10681.74040	137.00000	18399.84014	48.70198	0.00000	18400.00000	-17.64000	0.00000
-15180.61687	10739.44413	137.00000	18499.84098	48.80308	0.00000	18500.00000	-18.06250	0.00000
-15262.28687	10797.15197	137.00000	18599.84185	48.89918	0.00000	18600.00000	-18.49000	0.00000
-15343.95400	10854.86389	137.00000	18699.84274	48.99028	0.00000	18700.00000	-18.92250	0.00000
-15425.61826	10912.57991	137.00000	18799.84366	49.07639	0.00000	18800.00000	-19.36000	0.00000
-15507.27966	10970.30003	137.00000	18899.84461	49.15749	0.00000	18900.00000	-19.80250	0.00000
-15588.93819	11028.02425	137.00000	18999.84558	49.23359	0.00000	19000.00000	-20.25000	0.00000
-15670.59385	11085.75256	137.00000	19099.84658	49.30469	0.00000	19100.00000	-20.70250	0.00000
-15752.24664	11143.48496	137.00000	19199.84760	49.37080	0.00000	19200.00000	-21.16000	0.00000
-15833.89657	11201.22146	137.00000	19299.84866	49.43190	0.00000	19300.00000	-21.62250	0.00000
-15915.54363	11258.96206	137.00000	19399.84973	49.48800	0.00000	19400.00000	-22.09000	0.00000
-15997.18782	11316.70675	137.00000	19499.85084	49.53910	0.00000	19500.00000	-22.56250	0.00000
-16078.82914	11374.45554	137.00000	19599.85196	49.58521	0.00000	19600.00000	-23.04000	0.00000
-16160.46759	11432.20843	137.00000	19699.85312	49.62631	0.00000	19700.00000	-23.52250	0.00000
-16242.10318	11489.96541	137.00000	19799.85430	49.66241	0.00000	19800.00000	-24.01000	0.00000
-16323.73590	11547.72648	137.00000	19899.85551	49.69352	0.00000	19900.00000	-24.50250	0.00000
-16405.36575	11605.49166	137.00000	19999.85674	49.71962	0.00000	20000.00000	-25.00000	0.00000
-16486.99273	11663.26092	137.00000	20099.85800	49.74072	0.00000	20100.00000	-25.50250	0.00000
-16568.61684	11721.03429	137.00000	20199.85929	49.75683	0.00000	20200.00000	-26.01000	0.00000
-16650.23809	11778.81175	137.00000	20299.86060	49.76793	0.00000	20300.00000	-26.52250	0.00000
-16731.85647	11836.59330	137.00000	20399.86194	49.77403	0.00000	20400.00000	-27.04000	0.00000
-16813.47198	11894.37895	137.00000	20499.86331	49.77514	0.00000	20500.00000	-27.56250	0.00000
-16895.08462	11952.16870	137.00000	20599.86470	49.77124	0.00000	20600.00000	-28.09000	0.00000
-16976.69440	12009.96254	137.00000	20699.86612	49.76234	0.00000	20700.00000	-28.62250	0.00000
-17058.30130	12067.76048	137.00000	20799.86756	49.74845	0.00000	20800.00000	-29.16000	0.00000
-17139.90534	12125.56251	137.00000	20899.86903	49.72955	0.00000	20900.00000	-29.70250	0.00000
-17221.50651	12183.36864	137.00000	20999.87053	49.70566	0.00000	21000.00000	-30.25000	0.00000
-17303.10482	12241.17887	137.00000	21099.87205	49.67676	0.00000	21100.00000	-30.80250	0.00000
-17384.70025	12298.99319	137.00000	21199.87360	49.64286	0.00000	21200.00000	-31.36000	0.00000
-17466.29282	12356.81160	137.00000	21299.87517	49.60397	0.00000	21300.00000	-31.92250	0.00000
-17547.88252	12414.63412	137.00000	21399.87677	49.56007	0.00000	21400.00000	-32.49000	0.00000
-17629.46935	12472.46072	137.00000	21499.87840	49.51118	0.00000	21500.00000	-33.06250	0.00000
-17711.05332	12530.29143	137.00000	21599.88005	49.45728	0.00000	21600.00000	-33.64000	0.00000
-17792.63441	12588.12623	137.00000	21699.88173	49.39838	0.00000	21700.00000	-34.22250	0.00000
-17874.21264	12645.96512	137.00000	21799.88343	49.33449	0.00000	21800.00000	-34.81000	0.00000
-17955.78800	12703.80811	137.00000	21899.88517	49.26559	0.00000	21900.00000	-35.40250	0.00000
-18037.36049	12761.65520	137.00000	21999.88692	49.19170	0.00000	22000.00000	-36.00000	0.00000
-18118.93012	12819.50638	137.00000	22099.88871	49.11280	0.00000	22100.00000	-36.60250	0.00000
-18200.49688	12877.36166	137.00000	22199.89052	49.02891	0.00000	22200.00000	-37.21000	0.00000
-18282.06076	12935.22104	137.00000	22299.89235	48.94001	0.00000	22300.00000	-37.82250	0.00000
-18363.62179	12993.08451	137.00000	22399.89422	48.84612	0.00000	22400.00000	-38.44000	0.00000
-18445.17994	13050.95207	137.00000	22499.89611	48.74722	0.00000	22500.00000	-39.06250	0.00000
-18526.73522	13108.82373	137.00000	22599.89802	48.64333	0.00000	22600.00000	-39.69000	0.00000
-18608.28764	13166.69949	137.00000	22699.89996	48.53443	0.00000	22700.00000	-40.32250	0.00000
-18689.83719	13224.57934	137.00000	22799.90193	48.42054	0.00000	22800.00000	-40.96000	0.00000
-18771.38387	13282.46329	137.00000	22899.90392	48.30164	0.00000	22900.00000	-41.60250	0.00000
-18852.92769	13340.35134	137.00000	22999.90594	48.17775	0.00000	23000.00000	-42.25000	0.00000
-18934.46863	13398.24348	137.00000	23099.90799	48.04885	0.00000	23100.00000	-42.90250	0.00000
-19016.00671	13456.13971	137.00000	23199.91006	47.91496	0.00000	23200.00000	-43.56000	0.00000
-19097.54192	13514.04005	137.00000	23299.91216	47.77606	0.00000	23300.00000	-44.22250	0.00000
-19179.07426	13571.94447	137.00000	23399.91428	47.63217	0.00000	23400.00000	-44.89000	0.00000
-19260.60374	13629.85300	137.00000	23499.91643	47.48327	0.00000	23500.00000	-45.56250	0.00000
-19342.13034	13687.76562	137.00000	23599.91861	47.32938	0.00000	23600.00000	-46.24000	0.00000
-19423.65408	13745.68233	137.00000	23699.92081	47.17049	0.00000	23700.00000	-46.92250	0.00000
-19505.17495	13803.60314	137.00000	23799.92304	47.00659	0.00000	23800.00000	-47.61000	0.00000
-19586.69295	13861.52805	137.00000	23899.92529	46.83770	0.00000	23900.00000	-48.30250	0.00000
-19668.20809	13919.45705	137.00000	23999.92758	46.66380	0.00000	24000.00000	-49.00000	0.00000
-19749.72036	13977.39015	137.00000	24099.92988	46.48491	0.00000	24100.00000	-49.70250	0.00000
-19831.22975	14035.32734	137.00000	24199.93222	46.30102	0.00000	24200.00000	-50.41000	0.00000
-19912.73629	14093.26863	137.00000	24299.93458	46.11212	0.00000	24300.00000	-51.12250	0.00000
-19994.23995	14151.21402	137.00000	24399.93696	45.91823	0.00000	24400.00000	-51.84000	0.00000
-20075.74074	14209.16350	137.00000	24499.93938	45.71933	0.00000	24500.00000	-52.56250	0.00000
-20157.23867	14267.11707	137.00000	24599.94181	45.51544	0.00000	24600.00000	-53.29000	0.00000
-20238.73373	14325.07475	137.00000	24699.94428	45.30655	0.00000	24700.00000	-54.02250	0.00000
-20320.22592	14383.03652	137.00000	24799.94677	45.09265	0.00000	24800.00000	-54.76000	0.00000
-20401.71525	14441.00238	137.00000	24899.94929	44.87376	0.00000	24900.00000	-55.50250	0.00000
-20483.20170	14498.97234	137.00000	24999.95183	44.64987	0.00000	25000.00000	-56.25000	0.00000
-20564.68529	14556.94639	137.00000	25099.95440	44.42097	0.00000	25100.00000	-57.00250	0.00000
-20646.16601	14614.92455	137.00000	25199.95699	44.18708	0.00000	25200.00000	-57.76000	0.00000
-20727.64386	14672.90679	137.00000	25299.95962	43.94819	0.00000	25300.00000	-58.52250	0.00000
-20809.11885	14730.89314	137.00000	25399.96226	43.70429	0.00000	25400.00000	-59.29000	0.00000
-20890.59097	14788.88357	137.00000	25499.96494	43.45540	0.00000	25500.00000	-60.06250	0.00000
-20972.06021	14846.87811	137.00000	25599.96764	43.20151	0.00000	25600.00000	-60.84000	0.00000
-21053.52660	14904.87674	137.00000	25699.97036	42.94262	0.00000	25700.00000	-61.62250	0.00000
-21134.99011	14962.87946	137.00000	25799.97312	42.67872	0.00000	25800.00000	-62.41000	0.00000
-21216.45075	15020.88629	137.00000	25899.97590	42.40983	0.00000	25900.00000	-63.20250	0.00000
-21297.90853	15078.89720	137.00000	25999.97870	42.13594	0.00000	26000.00000	-64.00000	0.00000
